Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_City,Rndrng_Prvdr_St,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
50002,St Rose Hospital,Hayward,27200 Calaroga Ave,6,94545,CA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,28,99102.678571,22001.035714,20888.285714
50002,St Rose Hospital,Hayward,27200 Calaroga Ave,6,94545,CA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",189,PULMONARY EDEMA AND RESPIRATORY FAILURE,39,87511.025641,14231.820513,13415.820513
50002,St Rose Hospital,Hayward,27200 Calaroga Ave,6,94545,CA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,14,64336.428571,14528.071429,13728.071429
50002,St Rose Hospital,Hayward,27200 Calaroga Ave,6,94545,CA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",247,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC,13,165393.15385,32668.153846,17414.230769
50002,St Rose Hospital,Hayward,27200 Calaroga Ave,6,94545,CA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",18,100004.55556,16965,15987.222222
50002,St Rose Hospital,Hayward,27200 Calaroga Ave,6,94545,CA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",291,HEART FAILURE AND SHOCK WITH MCC,68,88992.529412,14956.205882,14109.794118
50002,St Rose Hospital,Hayward,27200 Calaroga Ave,6,94545,CA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",392,"ESOPHAGITIS, GASTROENTERITIS AND MISCELLANEOUS DIGESTIVE DISORDERS WITHOUT MCC",12,66832.25,9353.25,8286.5833333
50002,St Rose Hospital,Hayward,27200 Calaroga Ave,6,94545,CA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",394,OTHER DIGESTIVE SYSTEM DIAGNOSES WITH CC,11,75650.636364,11154.545455,10536.363636
50002,St Rose Hospital,Hayward,27200 Calaroga Ave,6,94545,CA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",470,MAJOR HIP AND KNEE JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY WITHOUT MCC,48,128444.33333,22111.854167,20511.854167
50002,St Rose Hospital,Hayward,27200 Calaroga Ave,6,94545,CA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",603,CELLULITIS WITHOUT MCC,12,60650.916667,10492.5,9159.1666667
50002,St Rose Hospital,Hayward,27200 Calaroga Ave,6,94545,CA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",640,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITH MCC",18,72268.944444,14836.333333,14125.222222
50002,St Rose Hospital,Hayward,27200 Calaroga Ave,6,94545,CA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",641,"MISCELLANEOUS DISORDERS OF NUTRITION, METABOLISM, FLUIDS AND ELECTROLYTES WITHOUT MCC",18,57894.5,9203.1111111,8138.8888889
50002,St Rose Hospital,Hayward,27200 Calaroga Ave,6,94545,CA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",682,RENAL FAILURE WITH MCC,11,105386.54545,17399.363636,16090.272727
50002,St Rose Hospital,Hayward,27200 Calaroga Ave,6,94545,CA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",683,RENAL FAILURE WITH CC,12,71419.416667,10938.583333,8659.5833333
50002,St Rose Hospital,Hayward,27200 Calaroga Ave,6,94545,CA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",690,KIDNEY AND URINARY TRACT INFECTIONS WITHOUT MCC,17,56377.117647,9471.1764706,8341.7647059
50002,St Rose Hospital,Hayward,27200 Calaroga Ave,6,94545,CA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",870,SEPTICEMIA OR SEVERE SEPSIS WITH MV >96 HOURS,14,334617.57143,83811.785714,82672.142857
50002,St Rose Hospital,Hayward,27200 Calaroga Ave,6,94545,CA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",871,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITH MCC,99,124449.9899,21891.474747,20858.020202
50002,St Rose Hospital,Hayward,27200 Calaroga Ave,6,94545,CA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",872,SEPTICEMIA OR SEVERE SEPSIS WITHOUT MV >96 HOURS WITHOUT MCC,23,75307.478261,11904.521739,10478.434783
50006,Providence St Joseph Hospital,Eureka,2700 Dolbeer St,6,95501,CA,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",38,EXTRACRANIAL PROCEDURES WITH CC,13,107541.07692,16304.076923,15013.307692
50006,Providence St Joseph Hospital,Eureka,2700 Dolbeer St,6,95501,CA,4,"Micropolitan area core: primary flow within an urban cluster of 10,000 to 49,999",39,EXTRACRANIAL PROCEDURES WITHOUT CC/MCC,32,75986.9375,11626.03125,10149.8125
