Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_City,Rndrng_Prvdr_St,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",4,"TRACHEOSTOMY WITH MV >96 HOURS OR PRINCIPAL DIAGNOSIS EXCEPT FACE, MOUTH AND NECK WITHOU",14,638338.28571,189453.35714,169238.21429
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",23,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITH MCC O,25,173548.92,53789.2,49107.24
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",24,CRANIOTOMY WITH MAJOR DEVICE IMPLANT OR ACUTE COMPLEX CNS PRINCIPAL DIAGNOSIS WITHOUT MC,15,105328.4,39851.666667,29603.8
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",25,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,45,178766.88889,50523.644444,41771.866667
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",26,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH CC,20,104774.45,32112.85,24598.65
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",27,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITHOUT CC/MCC,25,74401.8,23238.24,21706
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",35,CAROTID ARTERY STENT PROCEDURES WITH CC,13,97018.923077,23616.153846,18216.846154
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",36,CAROTID ARTERY STENT PROCEDURES WITHOUT CC/MCC,21,48570.047619,17353.809524,15907.095238
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",40,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH MCC",16,99249.3125,36109.8125,33581.5625
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",41,"PERIPHERAL, CRANIAL NERVE AND OTHER NERVOUS SYSTEM PROCEDURES WITH CC OR PERIPHERAL NEUR",29,61155.413793,22384.37931,17996.551724
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",54,NERVOUS SYSTEM NEOPLASMS WITH MCC,18,50042.222222,13995.722222,11822.388889
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",56,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITH MCC,16,56105.625,21236.0625,18569.1875
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",57,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,40,28101.575,13183.2,9688.45
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",12,66559.333333,19144.583333,14688.083333
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,98,65496.591837,20992.765306,18304.704082
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,113,34526.061947,10521.238938,7814
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,25,30120.48,7235.92,4931.08
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",68,NONSPECIFIC CVA AND PRECEREBRAL OCCLUSION WITHOUT INFARCTION WITHOUT MCC,14,26611.5,10142,5283.6428571
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",69,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,15,30811.466667,8274.9333333,6236.5333333
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",70,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH MCC,26,47158.884615,22545.961538,13862
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",71,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC,23,25151.521739,10692.391304,8146.1304348
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",82,TRAUMATIC STUPOR AND COMA >1 HOUR WITH MCC,14,66936.928571,26385.428571,20329.785714
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",91,OTHER DISORDERS OF NERVOUS SYSTEM WITH MCC,20,66160.35,18226.3,15868.6
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",92,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,18,33439.722222,10548.611111,7988.8888889
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",100,SEIZURES WITH MCC,36,90846.111111,30719.25,18249.083333
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",101,SEIZURES WITHOUT MCC,64,22960.953125,8980.890625,6698.5625
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",163,MAJOR CHEST PROCEDURES WITH MCC,11,138589.36364,42868.454545,40716.636364
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,22,28895.818182,13557.318182,11816.181818
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",176,PULMONARY EMBOLISM WITHOUT MCC,20,22083.9,9063.6,5597.6
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,133,36243.067669,18588.984962,15969.466165
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,48,26012.604167,12098.208333,9398.125
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",179,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITHOUT CC/MCC,14,16929.071429,8563.0714286,6641.0714286
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",180,RESPIRATORY NEOPLASMS WITH MCC,19,36998.263158,18630.263158,11528.736842
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",189,PULMONARY EDEMA AND RESPIRATORY FAILURE,166,36074.060241,12406.554217,9896.1084337
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,48,30269.333333,10519.270833,7725.5625
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",191,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH CC,18,19143.111111,9136.4444444,6420.3888889
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,69,25033.26087,13042.565217,10087.217391
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",194,SIMPLE PNEUMONIA AND PLEURISY WITH CC,39,22153.948718,8434,6419.4358974
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",202,BRONCHITIS AND ASTHMA WITH CC/MCC,15,25049.2,9398.3333333,6846.5333333
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",207,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT >96 HOURS,22,154045.77273,56430.363636,54260.045455
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",208,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,34,78300.794118,24878.705882,21919.058824
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",216,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITH CARDIAC CATHETERIZATION WIT,13,312404.38462,107061.38462,73237.692308
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",220,CARDIAC VALVE AND OTHER MAJOR CARDIOTHORACIC PROCEDURES WITHOUT CARDIAC CATHETERIZATION,15,217543.73333,61201.466667,43029.8
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",233,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITH MCC,12,210006.66667,64178.75,61448.583333
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",234,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITHOUT MCC,24,173186.58333,46715.083333,38516.5
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",235,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITH MCC,25,209725.2,52763.8,50737.6
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",236,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,22,154190.77273,38583.136364,31841.954545
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",242,PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,18,110299.38889,34006,31415.833333
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",243,PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,19,41201.368421,22393.263158,18669.210526
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES O,34,53494.029412,27349.911765,25254.205882
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",247,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC,44,34720.045455,18927.227273,13635.25
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",252,OTHER VASCULAR PROCEDURES WITH MCC,30,111166.93333,38681.366667,36449.266667
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",253,OTHER VASCULAR PROCEDURES WITH CC,21,96546.904762,30498.52381,23107.190476
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",254,OTHER VASCULAR PROCEDURES WITHOUT CC/MCC,11,51631.909091,17837.181818,13961.636364
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITH MCC,36,164233.44444,58920.611111,57570.555556
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC,214,122383.35981,46149.397196,44653.5
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",269,AORTIC AND HEART ASSIST PROCEDURES EXCEPT PULSATION BALLOON WITHOUT MCC,12,173406.16667,44198.083333,40366.166667
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",270,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC,20,140839.05,52727.15,40922.9
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",271,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH CC,11,112913.54545,34483.363636,32692.727273
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",273,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITH MCC,18,81868.833333,36626.777778,34394.055556
330005,Kaleida Health,Buffalo,100 High Street,36,14210,NY,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",274,PERCUTANEOUS AND OTHER INTRACARDIAC PROCEDURES WITHOUT MCC,213,73126.784038,30779.835681,29219.267606
