Rndrng_Prvdr_CCN,Rndrng_Prvdr_Org_Name,Rndrng_Prvdr_City,Rndrng_Prvdr_St,Rndrng_Prvdr_State_FIPS,Rndrng_Prvdr_Zip5,Rndrng_Prvdr_State_Abrvtn,Rndrng_Prvdr_RUCA,Rndrng_Prvdr_RUCA_Desc,DRG_Cd,DRG_Desc,Tot_Dschrgs,Avg_Submtd_Cvrd_Chrg,Avg_Tot_Pymt_Amt,Avg_Mdcr_Pymt_Amt
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",25,CRANIOTOMY AND ENDOVASCULAR INTRACRANIAL PROCEDURES WITH MCC,16,326563,36206.6875,34582.0625
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",54,NERVOUS SYSTEM NEOPLASMS WITH MCC,12,82468.75,10764.583333,8832.6666667
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",57,DEGENERATIVE NERVOUS SYSTEM DISORDERS WITHOUT MCC,18,64070.111111,10742.611111,6794.1111111
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",62,"ISCHEMIC STROKE, PRECEREBRAL OCCLUSION OR TRANSIENT ISCHEMIA WITH THROMBOLYTIC AGENT WIT",12,160768.5,19658.083333,9747.1666667
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",64,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH MCC,53,145731.84906,16037.207547,13682.339623
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",65,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITH CC OR TPA IN 24 HOURS,59,73341.610169,8179.9491525,6116.559322
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",66,INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION WITHOUT CC/MCC,20,67195.2,6030.4,3799.7
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",69,TRANSIENT ISCHEMIA WITHOUT THROMBOLYTIC,20,53746.9,6515.1,4657.3
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",71,NONSPECIFIC CEREBROVASCULAR DISORDERS WITH CC,11,61616.363636,8276.1818182,7104.6363636
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",86,TRAUMATIC STUPOR AND COMA <1 HOUR WITH CC,15,83780.066667,9248.7333333,8110.8666667
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",92,OTHER DISORDERS OF NERVOUS SYSTEM WITH CC,20,67790.35,7884.35,6627
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",100,SEIZURES WITH MCC,11,123542.54545,14500.454545,12995.818182
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",101,SEIZURES WITHOUT MCC,32,59574.375,7061.3125,5433.84375
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",163,MAJOR CHEST PROCEDURES WITH MCC,18,289596.83333,34527.722222,30083.166667
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",164,MAJOR CHEST PROCEDURES WITH CC,13,204764.53846,21445.769231,14900.230769
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",175,PULMONARY EMBOLISM WITH MCC OR ACUTE COR PULMONALE,24,90408.083333,10527.625,9248.25
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",176,PULMONARY EMBOLISM WITHOUT MCC,17,59049.117647,7060.4117647,4646.9411765
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",177,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH MCC,116,106838.88793,14507.103448,12357.137931
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",178,RESPIRATORY INFECTIONS AND INFLAMMATIONS WITH CC,27,67829.111111,8815,7387.5555556
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",180,RESPIRATORY NEOPLASMS WITH MCC,18,85111.111111,14332.722222,11685.444444
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",184,MAJOR CHEST TRAUMA WITH CC,21,94357.047619,8097.1428571,6229.3809524
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",185,MAJOR CHEST TRAUMA WITHOUT CC/MCC,11,58650.636364,5960.6363636,4546.6363636
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",189,PULMONARY EDEMA AND RESPIRATORY FAILURE,151,98586.278146,10617.264901,8047.7019868
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",190,CHRONIC OBSTRUCTIVE PULMONARY DISEASE WITH MCC,31,62785.870968,8751.9677419,6713.2903226
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",193,SIMPLE PNEUMONIA AND PLEURISY WITH MCC,29,63839.551724,10054.482759,8372.4137931
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",194,SIMPLE PNEUMONIA AND PLEURISY WITH CC,19,54580.526316,6592.5789474,5433.1578947
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",200,PNEUMOTHORAX WITH CC,11,62996.818182,8064.3636364,6463.4545455
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",208,RESPIRATORY SYSTEM DIAGNOSIS WITH VENTILATOR SUPPORT <=96 HOURS,29,181625.27586,21104.586207,16777.758621
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",234,CORONARY BYPASS WITH CARDIAC CATHETERIZATION OR OPEN ABLATION WITHOUT MCC,13,361057.61538,37389.384615,35364.307692
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",236,CORONARY BYPASS WITHOUT CARDIAC CATHETERIZATION WITHOUT MCC,15,243668.6,31284.933333,20366.533333
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",242,PERMANENT CARDIAC PACEMAKER IMPLANT WITH MCC,15,251148.66667,30045.933333,24248
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",243,PERMANENT CARDIAC PACEMAKER IMPLANT WITH CC,23,142691.69565,17476.434783,15959.086957
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",244,PERMANENT CARDIAC PACEMAKER IMPLANT WITHOUT CC/MCC,12,109879.08333,14226.75,12631.666667
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",246,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITH MCC OR 4+ ARTERIES O,13,161178.30769,22293.384615,20745.153846
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",247,PERCUTANEOUS CARDIOVASCULAR PROCEDURES WITH DRUG-ELUTING STENT WITHOUT MCC,25,139894.4,16338.8,12099.76
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",253,OTHER VASCULAR PROCEDURES WITH CC,11,215717.90909,19929.454545,18465.090909
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",266,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITH MCC,21,316113.04762,48446.238095,47206.571429
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",267,ENDOVASCULAR CARDIAC VALVE REPLACEMENT AND SUPPLEMENT PROCEDURES WITHOUT MCC,22,328308.45455,40658.545455,32597.909091
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",270,OTHER MAJOR CARDIOVASCULAR PROCEDURES WITH MCC,14,235191.07143,43520.357143,26577.785714
390001,Geisinger Community Medical Center,Scranton,1822 Mulberry Street,42,18510,PA,1,"Metropolitan area core: primary flow within an urbanized area of 50,000 and greater",280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE WITH MCC",12,89206.416667,12198.25,11059.75
